iter	Passed	Remaining
850	1244	217
851	1246	216
852	1247	215
853	1249	213
854	1250	212
855	1252	210
856	1254	209
857	1255	207
858	1257	206
859	1259	205
860	1261	203
861	1262	202
862	1263	200
863	1265	199
864	1266	197
865	1268	196
866	1270	194
867	1272	193
868	1274	192
869	1275	190
870	1276	189
871	1277	187
872	1279	186
873	1280	184
874	1282	183
875	1284	181
876	1286	180
877	1287	178
878	1289	177
879	1290	175
880	1292	174
881	1293	173
882	1294	171
883	1296	170
884	1297	168
885	1299	167
886	1301	165
887	1303	164
888	1304	162
889	1305	161
890	1307	159
891	1308	158
892	1309	156
893	1311	155
894	1313	154
895	1315	152
896	1317	151
897	1318	149
898	1320	148
899	1321	146
900	1322	145
901	1323	143
902	1325	142
903	1327	140
904	1328	139
905	1330	138
906	1332	136
907	1334	135
908	1335	133
909	1337	132
910	1339	130
911	1341	129
912	1342	127
913	1344	126
914	1346	125
915	1348	123
916	1350	122
917	1353	120
918	1354	119
919	1356	117
920	1358	116
921	1360	115
922	1362	113
923	1364	112
924	1365	110
925	1366	109
926	1368	107
927	1369	106
928	1370	104
929	1372	103
930	1373	101
931	1375	100
932	1377	98
933	1379	97
934	1380	95
935	1382	94
936	1383	93
937	1384	91
938	1386	90
939	1387	88
940	1389	87
941	1391	85
942	1393	84
943	1394	82
944	1396	81
945	1397	79
946	1398	78
947	1400	76
948	1401	75
949	1403	73
950	1405	72
951	1406	70
952	1407	69
953	1409	67
954	1410	66
955	1411	64
956	1412	63
957	1413	61
958	1414	60
959	1415	58
960	1416	57
961	1418	56
962	1419	54
963	1421	53
964	1423	51
965	1424	50
966	1425	48
967	1426	47
968	1427	45
969	1428	44
970	1429	42
971	1430	41
972	1431	39
973	1433	38
974	1434	36
975	1435	35
976	1437	33
977	1438	32
978	1440	30
979	1441	29
980	1442	27
981	1443	26
982	1444	24
983	1445	23
984	1447	22
985	1448	20
986	1449	19
987	1451	17
988	1453	16
989	1454	14
990	1455	13
991	1457	11
992	1458	10
993	1459	8
994	1460	7
995	1461	5
996	1463	4
997	1464	2
998	1466	1
999	1467	0
